school sex age address famsize Pstatus Medu Fedu Mjob Fjob reason guardian traveltime studytime failures schoolsup famsup paid activities nursery higher internet romantic famrel freetime goout Dalc Walc health absences FailHigh alcSudyTime parentsEdu G1 G2 G3 GC1 GC2 GC3
GP F 18 U GT3 A 4 4 at_home teacher course mother 2 2 0 yes no no no yes yes no no 4 3 4 1 1 3 4 3,16494845360825 2,50375939849624 3,04123711340206 0 0,55 0,55 fail sufficient sufficient
GP M 15 U GT3 T 4 4 health health other father 1 1 0 no yes yes no yes yes yes no 5 4 2 1 1 5 0 1,72164948453608 0,49874686716792 4,18041237113402 0,55 0,6 0,6 sufficient satisfactory satisfactory
GP M 16 U LE3 T 4 2 teacher other course mother 1 2 0 no no no yes yes yes yes no 4 5 1 1 3 5 0 1 1,49624060150376 4 0,6 0,65 0,7 satisfactory satisfactory satisfactory
GP M 16 U LE3 T 2 2 other other reputation mother 2 2 0 no yes no yes yes yes yes no 5 4 4 2 4 5 2 3,44329896907217 2,99749373433584 4,61082474226804 0,5 0,5 0,5 fail fail fail
GP F 15 R GT3 T 2 4 services health course mother 1 3 0 yes yes no yes yes yes yes no 4 3 2 1 1 5 2 1,72164948453608 1,50125313283208 4,18041237113402 0,5 0,55 0,5 fail sufficient fail
GP F 16 U GT3 T 2 2 services services home mother 1 1 0 no yes no no no yes yes no 1 2 2 1 3 5 6 1,72164948453608 4,50375939849624 4,18041237113402 0,5 0,55 0,6 fail sufficient satisfactory
GP M 15 U GT3 T 2 2 other other home mother 1 1 0 no yes no no yes yes yes no 4 2 2 1 2 5 8 1,72164948453608 5,00751879699248 4,18041237113402 0,55 0,6 0,6 sufficient satisfactory satisfactory
GP M 15 U GT3 T 4 2 health services other mother 1 1 0 no no no no yes yes yes no 2 2 4 2 4 1 0 3,44329896907217 1,99498746867168 1,61082474226804 0,55 0,55 0,55 sufficient sufficient sufficient
GP M 16 U LE3 A 3 4 services other home mother 1 2 0 yes yes yes yes yes yes yes no 5 3 3 1 1 5 2 2,44329896907217 1,50125313283208 4,36082474226804 0,6 0,6 0,65 satisfactory satisfactory satisfactory
GP M 16 U GT3 T 4 4 teacher teacher home mother 1 2 0 no yes yes yes yes yes yes yes 4 4 5 5 5 5 4 5 4,49874686716792 5 0,6 0,55 0,6 satisfactory sufficient satisfactory
GP M 15 U GT3 T 4 4 health services home mother 1 2 0 no yes yes no no yes yes no 5 4 2 3 4 5 0 2,27835051546392 1,99498746867168 4,31958762886598 0,5 0,55 0,55 fail sufficient sufficient
GP M 15 U GT3 T 4 4 services services reputation mother 2 2 0 no yes no yes yes yes yes no 4 3 1 1 1 5 2 1 1,50125313283208 4 0,75 0,75 0,75 good good good
GP M 15 R GT3 T 4 3 teacher at_home course mother 1 2 0 no yes no yes yes yes yes yes 4 5 2 1 1 5 0 1,72164948453608 0,49874686716792 4,18041237113402 0,65 0,7 0,75 satisfactory satisfactory good
GP M 15 U LE3 T 3 3 other other course mother 1 2 0 no no no yes no yes yes no 5 3 2 1 1 2 0 1,72164948453608 0,49874686716792 1,93041237113402 0,65 0,6 0,6 satisfactory satisfactory satisfactory
GP M 16 U GT3 T 3 2 other other home mother 1 1 0 no yes no no no yes yes no 5 4 3 1 1 5 4 2,44329896907217 2,50375939849624 4,36082474226804 0,6 0,6 0,6 satisfactory satisfactory satisfactory
GP F 15 U GT3 T 2 3 other other other father 2 1 0 no yes no yes yes yes no no 3 5 1 1 1 5 4 1 2,50375939849624 4 0,55 0,55 0,55 sufficient sufficient sufficient
GP M 15 U LE3 T 4 3 teacher services home mother 1 3 0 no yes no yes yes yes yes no 5 4 3 1 1 4 0 2,44329896907217 0,49874686716792 3,61082474226804 0,7 0,7 0,7 satisfactory satisfactory satisfactory
GP M 16 R GT3 A 4 4 other teacher reputation mother 2 3 0 no yes no yes yes yes yes yes 2 4 3 1 1 5 4 2,44329896907217 2,50375939849624 4,36082474226804 0,65 0,65 0,65 satisfactory satisfactory satisfactory
GP F 15 R GT3 T 3 4 services health course mother 1 3 0 yes yes no yes yes yes yes no 4 3 2 1 1 5 2 1,72164948453608 1,50125313283208 4,18041237113402 0,55 0,6 0,6 sufficient satisfactory satisfactory
GP F 15 R GT3 T 2 2 at_home other reputation mother 1 1 0 yes yes no yes yes yes no no 4 3 1 1 1 2 8 1 4,50877192982456 1,75 0,7 0,65 0,6 satisfactory satisfactory satisfactory
GP F 16 U LE3 T 2 2 other other home mother 2 2 0 no yes no yes no yes yes yes 3 3 3 1 2 3 16 2,44329896907217 9,01754385964912 2,86082474226804 0,55 0,55 0,5 sufficient sufficient fail
GP M 15 U LE3 T 4 4 teacher other home other 1 1 0 no yes no no no yes yes yes 5 4 3 2 4 5 8 2,72164948453608 6,00501253132832 4,43041237113402 0,5 0,55 0,55 fail sufficient sufficient
GP M 15 U GT3 T 4 4 services teacher course father 1 2 0 no yes no yes yes yes yes no 4 3 3 1 1 5 0 2,44329896907217 0,49874686716792 4,36082474226804 0,7 0,75 0,75 satisfactory good good
GP M 15 U GT3 T 2 2 services services course father 1 1 0 yes yes no no yes yes yes no 5 4 1 1 1 1 0 1 0,49874686716792 1 0,45 0,5 0,5 fail fail fail
GP F 16 U LE3 T 2 2 other at_home course father 2 2 1 yes no no yes yes yes yes no 4 3 3 2 2 5 14 2,72164948453608 8,01503759398496 4,43041237113402 0,5 0,55 0,55 fail sufficient sufficient
GP F 15 U LE3 A 4 3 other other course mother 1 2 0 yes yes yes yes yes yes yes yes 5 2 2 1 1 5 4 1,72164948453608 2,50375939849624 4,18041237113402 0,5 0,55 0,55 fail sufficient sufficient
GP F 16 U LE3 A 3 3 other services home mother 1 2 0 no yes no no yes yes yes no 2 3 5 1 4 3 6 3,88659793814433 5,00250626566416 3,22164948453608 0,65 0,6 0,65 satisfactory satisfactory satisfactory
GP M 16 U GT3 T 4 3 health services reputation mother 1 4 0 no no no yes yes yes yes no 4 2 2 1 1 2 2 1,72164948453608 1,50125313283208 1,93041237113402 0,85 0,85 0,85 good good good
GP M 15 U GT3 T 4 2 teacher other home mother 1 2 0 no yes no no yes yes no no 4 3 3 2 2 5 4 2,72164948453608 3,00250626566416 4,43041237113402 0,55 0,6 0,65 sufficient satisfactory satisfactory
GP F 15 U GT3 T 4 4 services teacher other father 1 2 0 yes yes no yes no yes yes no 4 4 4 1 1 3 2 3,16494845360825 1,50125313283208 3,04123711340206 0,65 0,6 0,6 satisfactory satisfactory satisfactory
GP F 16 U LE3 T 2 2 services services course mother 3 2 0 no yes no no yes yes yes no 4 3 3 2 3 4 0 2,72164948453608 1,49624060150376 3,68041237113402 0,7 0,65 0,65 satisfactory satisfactory satisfactory
GP F 15 U LE3 T 4 2 health other other mother 1 2 0 no yes no no yes yes yes no 4 3 3 1 1 5 0 2,44329896907217 0,49874686716792 4,36082474226804 0,8 0,7 0,8 good satisfactory good
GP M 15 U LE3 A 4 2 health health other father 2 1 0 no no no no yes yes no no 5 5 5 3 4 5 4 4,44329896907217 4 4,86082474226804 0,5 0,45 0,45 fail fail fail
GP F 15 U GT3 T 4 4 services services course mother 1 1 0 yes yes no no yes yes yes no 3 3 4 2 3 5 0 3,44329896907217 1,49624060150376 4,61082474226804 0,65 0,6 0,6 satisfactory satisfactory satisfactory
GP F 15 U LE3 A 3 3 other other other mother 1 1 0 no no no no yes yes yes no 5 3 4 4 4 1 0 4 1,99498746867168 1,75 0,65 0,6 0,65 satisfactory satisfactory satisfactory
GP F 16 U GT3 A 2 1 other other other mother 1 2 0 no no no yes yes yes yes yes 5 3 4 1 1 2 2 3,16494845360825 1,50125313283208 2,29123711340206 0,6 0,65 0,6 satisfactory satisfactory satisfactory
GP F 15 U GT3 A 4 3 services services reputation mother 1 2 0 no yes no yes yes yes yes no 4 3 2 1 1 1 0 1,72164948453608 0,49874686716792 1,18041237113402 0,75 0,7 0,75 good satisfactory good
GP M 15 U GT3 T 4 4 teacher health reputation mother 1 2 0 no yes no yes yes yes no no 3 2 2 1 1 5 8 1,72164948453608 4,50877192982456 4,18041237113402 0,75 0,75 0,8 good good good
GP M 15 U LE3 T 1 2 other at_home home father 1 2 0 yes yes no yes yes yes yes no 4 3 2 1 1 5 0 1,72164948453608 0,49874686716792 4,18041237113402 0,7 0,65 0,7 satisfactory satisfactory satisfactory
GP F 16 U GT3 T 4 2 services other course mother 1 2 0 no yes yes no yes yes yes no 4 2 3 1 1 5 2 2,44329896907217 1,50125313283208 4,36082474226804 0,8 0,75 0,8 good good good
GP F 16 R GT3 T 4 4 health teacher other mother 1 2 0 no yes no yes yes yes no no 2 4 4 2 3 4 0 3,44329896907217 1,49624060150376 3,86082474226804 0,85 0,8 0,8 good good good
GP F 16 U GT3 T 1 1 services services course father 4 1 0 yes yes no yes no yes yes yes 5 5 5 5 5 5 0 5 2,4937343358396 5 0,5 0,5 0,8 fail fail good
GP F 16 U LE3 T 1 2 other services reputation father 1 2 0 yes no no yes yes yes yes no 4 4 3 1 1 1 0 2,44329896907217 0,49874686716792 1,36082474226804 0,65 0,65 0,5 satisfactory satisfactory fail
GP F 16 U GT3 T 4 3 teacher health home mother 1 3 0 yes yes no yes yes yes yes no 3 4 4 2 4 4 0 3,44329896907217 1,99498746867168 3,86082474226804 0,7 0,65 0,65 satisfactory satisfactory satisfactory
GP F 15 U LE3 T 4 3 services services reputation father 1 2 0 yes no no yes yes yes yes yes 4 4 4 2 4 2 0 3,44329896907217 1,99498746867168 2,36082474226804 0,65 0,6 0,6 satisfactory satisfactory satisfactory
GP F 16 U LE3 T 4 3 teacher services course mother 3 2 0 no yes no yes yes yes yes no 5 4 3 1 2 1 2 2,44329896907217 2 1,36082474226804 0,8 0,75 0,8 good good good
GP M 15 U GT3 A 4 4 other services reputation mother 1 4 0 no yes no yes no yes yes yes 1 3 3 5 5 3 0 3,55670103092783 2,4937343358396 3,13917525773196 0,55 0,6 0,6 sufficient satisfactory satisfactory
GP F 16 U GT3 T 3 1 services other course mother 1 4 0 yes yes no no yes yes yes no 4 3 3 1 2 5 0 2,44329896907217 0,99749373433584 4,36082474226804 0,5 0,45 0,5 fail fail fail
GP F 15 R LE3 T 2 2 health services reputation mother 2 2 0 yes yes no no yes yes yes no 4 1 3 1 3 4 0 2,44329896907217 1,49624060150376 3,61082474226804 0,55 0,5 0,55 sufficient fail sufficient
GP F 15 R LE3 T 3 1 other other reputation father 2 4 0 no yes no no no yes yes no 4 4 2 2 3 3 6 2 4,50375939849624 2,75 0,75 0,75 0,75 good good good
GP M 16 U GT3 T 3 1 other other reputation father 2 4 0 no yes no no yes yes yes no 4 3 2 1 1 5 2 1,72164948453608 1,50125313283208 4,18041237113402 0,65 0,55 0,55 satisfactory sufficient sufficient
GP M 15 U GT3 T 4 2 other other course mother 1 4 0 no no no no yes yes yes no 3 3 3 1 1 3 0 2,44329896907217 0,49874686716792 2,86082474226804 0,55 0,45 0,5 sufficient fail fail
GP F 15 R GT3 T 1 1 other other reputation mother 1 2 0 yes yes no no no yes yes yes 3 3 4 2 4 5 2 3,44329896907217 2,99749373433584 4,61082474226804 0,65 0,55 0,55 satisfactory sufficient sufficient
GP M 16 U GT3 T 3 1 other other reputation mother 1 1 0 no no no yes yes yes no no 5 3 2 2 2 5 0 2 0,99749373433584 4,25 0,65 0,65 0,7 satisfactory satisfactory satisfactory
GP F 16 U GT3 T 3 3 other services home mother 1 2 0 yes yes no yes yes yes yes no 4 3 3 2 4 5 4 2,72164948453608 4 4,43041237113402 0,55 0,55 0,55 sufficient sufficient sufficient
GP M 15 U GT3 T 4 3 teacher other home mother 1 2 0 no yes no yes yes yes yes no 4 3 3 2 3 5 0 2,72164948453608 1,49624060150376 4,43041237113402 0,55 0,55 0,55 sufficient sufficient sufficient
GP M 15 U GT3 T 4 0 teacher other course mother 2 4 0 no no no yes yes yes yes no 3 4 3 1 1 1 0 2,44329896907217 0,49874686716792 1,36082474226804 0,6 0,55 0,55 satisfactory sufficient sufficient
GP F 16 U GT3 T 2 2 other other reputation mother 1 4 0 no no no no yes yes yes yes 5 2 3 1 3 3 1 2,44329896907217 1,99749373433584 2,86082474226804 0,65 0,65 0,65 satisfactory satisfactory satisfactory
GP M 17 U GT3 T 2 1 other other home mother 2 1 3 yes yes no yes yes no yes no 4 5 1 1 1 3 0 1 0,49874686716792 2,5 0,45 0,45 0,5 fail fail fail
GP F 16 U GT3 T 3 4 at_home other course mother 1 2 0 no yes no no yes yes yes no 2 4 3 1 2 3 14 2,44329896907217 8,01503759398496 2,86082474226804 0,6 0,55 0,55 satisfactory sufficient sufficient
GP M 15 U GT3 T 2 3 other services course father 1 1 0 yes yes no yes no yes yes yes 3 2 2 1 3 3 0 1,72164948453608 1,49624060150376 2,68041237113402 0,55 0,55 0,6 sufficient sufficient satisfactory
GP M 15 U GT3 T 2 3 other other home mother 1 3 0 yes no no no no yes yes no 5 3 2 1 2 5 2 1,72164948453608 2 4,18041237113402 0,5 0,45 0,45 fail fail fail
GP F 15 U LE3 T 3 2 services other reputation mother 1 2 0 no yes no no yes yes yes no 4 4 4 1 1 5 4 3,16494845360825 2,50375939849624 4,54123711340206 0,6 0,55 0,55 satisfactory sufficient sufficient
GP M 15 U LE3 T 2 2 services services home mother 2 2 0 no no yes yes yes yes yes no 5 3 3 1 3 4 2 2,44329896907217 2,49874686716792 3,61082474226804 0,65 0,6 0,65 satisfactory satisfactory satisfactory
GP F 15 U GT3 T 1 1 other other home father 1 2 0 no yes no yes no yes yes no 4 3 2 2 3 4 2 2 2,49874686716792 3,5 0,65 0,6 0,6 satisfactory satisfactory satisfactory
GP F 15 U GT3 T 4 4 services services reputation father 2 2 0 no no no no yes yes yes yes 4 4 4 2 3 5 4 3,44329896907217 3,50125313283208 4,61082474226804 0,6 0,55 0,6 satisfactory sufficient satisfactory
GP F 16 U LE3 T 2 2 at_home other course mother 1 2 0 no yes no no yes yes no no 4 3 4 1 2 2 6 3,16494845360825 4,00501253132832 2,29123711340206 0,65 0,55 0,55 satisfactory sufficient sufficient
GP F 15 U GT3 T 4 2 other other reputation mother 1 3 0 no yes no yes yes yes yes no 5 3 3 1 3 1 4 2,44329896907217 3,50125313283208 1,36082474226804 0,75 0,75 0,75 good good good
GP M 16 U GT3 T 2 2 services other reputation father 2 2 0 no no no yes no yes yes no 4 4 2 1 1 3 6 1,72164948453608 3,5062656641604 2,68041237113402 0,6 0,5 0,55 satisfactory fail sufficient
GP M 16 U LE3 A 4 4 teacher health reputation mother 1 2 0 no yes no no yes yes no no 4 1 3 3 5 5 6 3 5,50125313283208 4,5 0,45 0,45 0,5 fail fail fail
GP F 16 U GT3 T 3 3 other other home mother 1 3 0 no yes no no yes yes yes yes 4 3 3 1 3 4 2 2,44329896907217 2,49874686716792 3,61082474226804 0,45 0,55 0,55 fail sufficient sufficient
GP F 15 U GT3 T 4 3 services other reputation mother 1 1 0 no no no yes yes yes yes no 4 5 5 1 3 1 6 3,88659793814433 4,50375939849624 1,72164948453608 0,7 0,65 0,65 satisfactory satisfactory satisfactory
GP F 16 U LE3 T 3 1 other other home father 1 2 0 yes yes no no yes yes no no 3 3 3 2 3 2 0 2,72164948453608 1,49624060150376 2,18041237113402 0,6 0,65 0,6 satisfactory satisfactory satisfactory
GP F 16 U GT3 T 4 2 teacher services home mother 2 2 0 no yes no yes yes yes yes no 5 3 3 1 1 1 2 2,44329896907217 1,50125313283208 1,36082474226804 0,65 0,7 0,7 satisfactory satisfactory satisfactory
GP M 15 U LE3 T 2 2 services health reputation mother 1 4 0 no yes no yes yes yes yes no 4 3 4 1 1 4 2 3,16494845360825 1,50125313283208 3,79123711340206 0,55 0,6 0,6 sufficient satisfactory satisfactory
GP F 15 R GT3 T 1 1 at_home other home mother 2 4 0 yes yes yes yes yes yes yes no 3 1 2 1 1 1 4 1,72164948453608 2,50375939849624 1,18041237113402 0,65 0,65 0,65 satisfactory satisfactory satisfactory
GP M 16 R GT3 T 4 3 services other reputation mother 2 1 0 yes yes yes yes no yes yes no 3 3 3 1 1 4 6 2,44329896907217 3,5062656641604 3,61082474226804 0,45 0,55 0,55 fail sufficient sufficient
GP F 16 U GT3 T 2 1 other other course mother 1 2 0 no yes no no yes yes no yes 4 3 5 1 1 5 0 3,88659793814433 0,49874686716792 4,72164948453608 0,65 0,6 0,6 satisfactory satisfactory satisfactory
GP F 16 U GT3 T 4 4 other other reputation mother 1 1 0 no no no yes no yes yes no 5 3 4 1 2 1 4 3,16494845360825 3,00250626566416 1,54123711340206 0,6 0,65 0,65 satisfactory satisfactory satisfactory
GP F 16 U GT3 T 4 3 other at_home course mother 1 3 0 yes yes no no yes yes yes no 5 3 5 1 1 3 2 3,88659793814433 1,50125313283208 3,22164948453608 0,6 0,65 0,65 satisfactory satisfactory satisfactory
GP M 16 U GT3 T 4 4 services services other mother 1 1 0 yes yes no yes yes yes yes no 4 5 5 5 5 4 12 5 8,50877192982456 4,25 0,45 0,45 0,4 fail fail fail
GP M 16 U GT3 T 4 4 services teacher other father 1 3 0 no yes no yes yes yes yes yes 4 4 3 1 1 4 0 2,44329896907217 0,49874686716792 3,61082474226804 0,8 0,8 0,8 good good good
GP M 15 U GT3 T 4 4 services other course mother 1 1 0 no yes yes yes no yes yes no 5 3 3 1 1 5 2 2,44329896907217 1,50125313283208 4,36082474226804 0,6 0,65 0,6 satisfactory satisfactory satisfactory
GP F 15 U GT3 T 3 2 services other home mother 2 2 0 yes yes no no yes yes yes no 4 3 5 1 1 2 16 3,88659793814433 8,5187969924812 2,47164948453608 0,55 0,5 0,5 sufficient fail fail
GP M 15 U GT3 A 3 4 services other course mother 1 2 0 no yes no yes yes yes yes no 5 4 4 1 1 1 0 3,16494845360825 0,49874686716792 1,54123711340206 0,8 0,8 0,8 good good good
GP F 15 U GT3 A 3 3 other health reputation father 1 4 0 yes no no no yes yes no no 4 3 3 1 1 4 10 2,44329896907217 5,51127819548872 3,61082474226804 0,5 0,5 0,5 fail fail fail
GP F 15 U GT3 T 2 2 other other course mother 1 4 0 yes yes no no yes yes yes no 5 1 2 1 1 3 4 1,72164948453608 2,50375939849624 2,68041237113402 0,5 0,5 0,5 fail fail fail
GP M 16 U GT3 T 3 3 services other home father 1 3 0 no yes no yes yes yes yes no 5 3 3 1 1 5 4 2,44329896907217 2,50375939849624 4,36082474226804 0,65 0,7 0,7 satisfactory satisfactory satisfactory
GP M 15 R GT3 T 4 4 other other home father 4 4 0 no yes no yes yes yes yes yes 1 3 5 3 5 1 8 4,44329896907217 6,50375939849624 1,86082474226804 0,6 0,5 0,55 satisfactory fail sufficient
GP F 16 U LE3 T 4 4 health health other mother 1 3 0 no yes no yes yes yes yes yes 5 4 5 1 1 4 2 3,88659793814433 1,50125313283208 3,97164948453608 0,75 0,75 0,7 good good satisfactory
GP M 15 U LE3 A 4 4 teacher teacher course mother 1 1 0 no no no yes yes yes yes no 5 5 3 1 1 4 4 2,44329896907217 2,50375939849624 3,61082474226804 0,65 0,7 0,7 satisfactory satisfactory satisfactory
GP F 16 R GT3 T 3 3 services other reputation father 1 3 0 yes yes no yes yes yes yes no 4 1 2 1 1 2 4 1,72164948453608 2,50375939849624 1,93041237113402 0,55 0,55 0,55 sufficient sufficient sufficient
GP F 16 U GT3 T 2 2 at_home other home mother 1 2 1 yes no no yes yes yes yes no 3 1 2 1 1 5 12 1,72164948453608 6,51378446115288 4,18041237113402 0,4 0,5 0,5 fail fail fail
GP M 15 U LE3 T 4 2 teacher other course mother 1 1 0 no no no no yes yes yes no 3 5 2 1 1 3 10 1,72164948453608 5,51127819548872 2,68041237113402 0,9 0,85 0,9 good good good
GP M 15 R GT3 T 2 1 health services reputation mother 1 2 0 no no no yes yes yes yes yes 5 4 2 1 1 5 4 1,72164948453608 2,50375939849624 4,18041237113402 0,5 0,45 0,5 fail fail fail
GP M 16 U GT3 T 4 4 teacher teacher course father 1 2 0 no yes no yes yes yes yes no 5 4 4 1 2 5 6 3,16494845360825 4,00501253132832 4,54123711340206 0,8 0,7 0,7 good satisfactory satisfactory
GP M 15 U GT3 T 4 4 other teacher reputation father 2 2 0 no yes no yes yes yes no no 4 4 3 1 1 2 4 2,44329896907217 2,50375939849624 2,11082474226804 0,8 0,75 0,8 good good good
GP M 16 U GT3 T 3 3 other services home father 2 1 0 no no no yes yes yes yes no 5 4 2 1 1 5 6 1,72164948453608 3,5062656641604 4,18041237113402 0,7 0,7 0,75 satisfactory satisfactory good
GP M 17 R GT3 T 1 3 other other course father 3 2 1 no yes no yes yes yes yes no 5 2 4 1 4 5 14 3,16494845360825 9,0125313283208 4,54123711340206 0,6 0,55 0,55 satisfactory sufficient sufficient
GP M 15 U GT3 T 3 4 other other reputation father 1 1 0 no no no no yes yes yes no 3 4 3 1 2 4 2 2,44329896907217 2 3,61082474226804 0,7 0,65 0,7 satisfactory satisfactory satisfactory
GP F 15 U GT3 T 1 2 at_home services course mother 1 2 0 no no no no no yes yes no 3 2 3 1 2 1 0 2,44329896907217 0,99749373433584 1,36082474226804 0,7 0,7 0,7 satisfactory satisfactory satisfactory
GP M 15 U GT3 T 2 2 services services home father 1 4 0 no yes no yes yes yes yes no 5 5 4 1 2 5 6 3,16494845360825 4,00501253132832 4,54123711340206 0,7 0,65 0,65 satisfactory satisfactory satisfactory
GP F 16 U LE3 T 2 4 other health course father 2 2 0 no yes no yes yes yes yes yes 4 2 2 1 2 5 2 1,72164948453608 2 4,18041237113402 0,7 0,6 0,65 satisfactory satisfactory satisfactory
GP M 16 U GT3 T 4 4 health other course mother 1 1 0 no yes no yes yes yes yes no 3 4 4 1 4 5 4 3,16494845360825 4 4,54123711340206 0,6 0,65 0,65 satisfactory satisfactory satisfactory
GP F 16 U GT3 T 2 2 other other home mother 1 2 0 no no no no yes yes yes yes 5 4 4 1 1 5 0 3,16494845360825 0,49874686716792 4,54123711340206 0,6 0,55 0,55 satisfactory sufficient sufficient
GP M 15 U GT3 T 3 4 services services home father 1 1 0 yes no no no yes yes yes no 5 5 5 3 2 5 2 4,44329896907217 2 4,86082474226804 0,45 0,45 0,45 fail fail fail
GP F 15 U LE3 A 3 4 other other home mother 1 2 0 yes no no yes yes yes yes yes 5 3 2 1 1 1 0 1,72164948453608 0,49874686716792 1,18041237113402 0,5 0,55 0,55 fail sufficient sufficient
GP F 19 U GT3 T 0 1 at_home other course other 1 2 2 no yes no no no no no no 3 4 2 1 1 5 0 1,72164948453608 0,49874686716792 4,18041237113402 0,45 0,5 0,55 fail fail sufficient
GP M 16 R GT3 T 4 4 teacher teacher course mother 1 1 0 no no no yes yes yes yes no 3 5 5 2 5 4 8 4,16494845360825 6,50375939849624 4,04123711340206 0,7 0,7 0,75 satisfactory satisfactory good
GP M 16 U GT3 T 2 3 other other course mother 2 3 0 no yes no no no yes yes yes 3 2 3 2 2 1 4 2,72164948453608 3,00250626566416 1,43041237113402 0,65 0,6 0,65 satisfactory satisfactory satisfactory
GP F 15 R GT3 T 3 4 services teacher course father 2 3 0 no yes no no yes yes yes yes 4 2 2 2 2 5 0 2 0,99749373433584 4,25 0,5 0,55 0,6 fail sufficient satisfactory
